Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Score,Seconds
1,3:43.13,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1292,223.13
2,3:43.40,Noah NGENY,02 NOV 1978,KEN,2,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1288,223.4
3,3:44.39,Noureddine MORCELI,28 FEB 1970,ALG,1,Rieti (ITA),05 SEP 1993,1275,224.39
4,3:46.32,Steve CRAM,14 OCT 1960,GBR,1,Oslo (NOR),27 JUL 1985,1249,226.32
5,3:46.38,Daniel KOMEN,17 MAY 1976,KEN,2,"Olympiastadion, Berlin (GER)",26 AUG 1997,1248,226.38
6,3:46.46,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1247,226.46
7,3:46.70,Vénuste NIYONGABO,09 DEC 1973,BDI,3,"Olympiastadion, Berlin (GER)",26 AUG 1997,1244,226.7
8,3:46.76,Saïd AOUITA,02 NOV 1959,MAR,1,Helsinki (FIN),02 JUL 1987,1243,226.76
9,3:46.91,Alan WEBB,13 JAN 1983,USA,1,Brasschaat (BEL),21 JUL 2007,1241,226.91
10,3:47.28,Bernard LAGAT,12 DEC 1974,KEN,2,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1236,227.28
11,3:47.32,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1236,227.32
12,3:47.33,Sebastian COE,29 SEP 1956,GBR,1,Bruxelles (BEL),28 AUG 1981,1236,227.32999999999998
13,3:47.48,Oliver HOARE,29 JAN 1997,AUS,2,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1234,227.48
14,3:47.65,Laban ROTICH,20 JAN 1969,KEN,2,Oslo (NOR),04 JUL 1997,1232,227.65
15,3:47.69,Steve SCOTT,05 MAY 1956,USA,1,Oslo (NOR),07 JUL 1982,1231,227.69
16,3:47.79,José Luis GONZÁLEZ,08 DEC 1957,ESP,2,Oslo (NOR),27 JUL 1985,1230,227.79
17,3:47.88,John Kemboi KIBOWEN,21 APR 1969,KEN,3,Oslo (NOR),04 JUL 1997,1228,227.88
17,3:47.88,Silas KIPLAGAT,20 AUG 1989,KEN,2f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1228,227.88
19,3:47.94,William CHIRCHIR,06 FEB 1979,KEN,2,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1228,227.94
20,3:47.97,Daham Najim BASHIR,08 NOV 1979,QAT,1,Oslo (NOR),29 JUL 2005,1227,227.97
21,3:48.17,Paul KORIR,15 JUL 1977,KEN,1,"Crystal Palace, London (GBR)",08 AUG 2003,1225,228.17000000000002
